id,fen,example_solution
23,"rnbBkbnr/ppp2ppp/8/3p4/5P2/8/PP2P1PP/RN1qKBNR w 5","e1-f2;b1-c3;a1-d1;c3-d5;d5-c7"
24,"rnbk2nr/ppp2pp1/8/4p2p/1b2P3/8/PPP2PPP/RNB1KBNR w 5","c1-d2;f1-b5;b1-a3;e1-c1;d2-g5"
25,"r1b1kbnr/pp2pppp/2n5/1Bp5/8/8/PPPP1PPP/RNBqK2R w 5","e1-d1;h1-e1;e1-e6;e6-c6;c6-c8"
26,"r2qkbnr/ppp2ppp/2n5/1B1pp3/4P3/8/PPPP2PP/RNBbK1NR w 5","a2-a4;a1-a3;a3-c3;c3-c6;c6-e6"
27,"rn2kbnr/pp2pppp/2p5/1B6/3qP3/8/PPPP1PPP/RNBbK1NR w 5","a2-a4;a1-a3;a3-c3;c3-c6;c6-c8"
28,"rn1qkbr1/ppp2ppp/8/3pp3/3PP3/8/PPPB1PPP/RN1bKBNR w 5","d4-e5;e5-e6;e6-e7;d2-g5;e7-d8q"
29,"rn1Bkbnr/1pp2ppp/p7/3pp3/3PP3/8/PPP2PPP/RN1bKBNR w 5","e4-d5;d5-d6;d6-c7;c7-c8q;d8-f6"
30,"rnb1kbnr/pppqpppp/8/1B6/P3P3/5N2/1P1P1PPP/RNBqK2R w 5","e1-d1;a4-a5;a5-a6;a6-b7;b7-c8q"
31,"rn2kbnr/ppp1pppp/8/1q2P3/3p1P2/8/PPPP2PP/RNBbK1NR w 5","a2-a4;a4-b5;b5-b6;b6-c7;c7-c8q"
32,"rnbqkb1r/ppp1pppp/8/8/3p1P2/3P4/PPP3PP/RNB1KnNR w 5","f4-f5;f5-f6;f6-e7;c1-g5;e7-d8q"
33,"rnbqkb1r/pp2pppp/2p5/3p4/2PP4/5P2/PP2P1PP/R1BnKBNR w 5","c4-d5;d5-d6;d6-e7;c1-g5;e7-d8q"
34,"rn1qkbnr/pp3ppp/4p3/3pP3/3p4/N7/PPP2PPP/R1BbKBNR w 5","c1-g5;a1-d1;d1-d4;d4-d5;d5-d8"
35,"rnbqkbnr/pp1p1ppp/4p3/4P3/8/N7/PP3PPP/R1BqKBNR w 5","e1-d1;c1-g5;a1-c1;c1-c8;c8-d8"
36,"rnbBkb1r/pppp2pp/8/4p3/3P4/8/PPP1P1PP/RN1nKBNR w 5","e2-e3;f1-d3;d3-h7;d8-g5;h7-g6"
37,"rn1Qkbnr/1p2p1pp/8/p7/8/8/PPPP1KPP/RNBb1BNR b 6","e8-d8;a8-a6;a6-e6;e6-e3;g8-f6;f6-g4"
38,"rnb1k2B/pppp1p1p/8/4p3/1b1PP3/2N5/PPP2PPP/3RKBNR b 6","d7-d5;d5-e4;e4-e3;e3-e2;c8-g4;e2-d1q"
39,"rn1k1b1r/ppp2ppp/7n/3PP3/5P2/2N5/PPP3PP/3RKBNR b 6","g7-g5;g5-f4;h8-g8;g8-g2;f8-e7;e7-h4"
40,"rnb1k1nB/ppp2p2/8/3pp3/1b1PP3/2P5/PP3PPP/RN2KBNR b 6","c8-g4;g8-f6;d5-e4;e4-e3;f6-e4;e3-f2"
41,"rnb3nB/ppp1kp1p/8/2b1p3/P3P3/8/1PPK1PPP/RN3BNR b 6","c8-g4;c5-f2;b8-c6;c6-d4;a8-d8;d4-e2"
42,"rn1B3r/pppk1p1p/3p1p2/8/3P4/N7/PPP2PPP/R2bKBNR b 6","h8-d8;b8-c6;c6-e5;d8-e8;d1-c2;e5-f3"
43,"r3kb1N/ppp3pp/8/3pp3/4P1b1/8/PP3PPP/nN1K1B1R w 7","f1-e2;h8-g6;f2-f4;f4-e5;e5-e6;h1-f1;f1-f8"
44,"r3k2N/pppnb1pp/3p4/4p3/4P3/3P4/PPP2P1P/RN1K1B1b w 7","h8-g6;g6-f8;f8-e6;f1-h3;h3-f5;f5-h7;h7-g6"
45,"1r4nr/pp1k1ppp/2n1p3/8/3P4/8/P1PN1PPP/b1BK1B1R w 7","c1-a3;f1-d3;h1-e1;e1-e6;e6-c6;c6-c8;d3-f5"
46,"r6r/1ppk1pp1/p1n2p2/7p/P6P/8/2PP1PP1/b1B1KBNR w 7","g2-g4;g4-g5;g5-g6;g6-f7;f7-f8q;f1-d3;d3-f5"
47,"5bnr/p2kpppp/2p5/8/3P4/5N2/5PPP/rN1K1B1R w 7","f1-c4;d1-c2;b1-a3;h1-b1;b1-b8;a3-b5;f3-e5"
48,"rn4nr/ppk3pp/8/3pp3/1P6/8/PP3PPP/RN1K1BNR w 7","f1-b5;g1-h3;h3-g5;g5-f7;b1-c3;a1-c1;c3-d5"
49,"5Rnr/1ppbk1pp/5p2/3P4/8/5P1N/PP3KPP/RNB5 b 8","d7-b5;g7-g5;g5-g4;g4-h3;g8-h6;h8-g8;h3-g2;g2-g1q"
50,"7R/p1k2ppp/8/8/1b1p4/2N5/PP1K1PPP/5BNR b 8","a7-a5;a5-a4;a4-a3;a3-b2;b2-b1q;d4-d3;b4-d6;d6-f4"
51,"rn4n1/pp1k1p1R/2p5/3P4/3QP3/8/P4PP1/1N1K1B2 b 8","c6-d5;b8-c6;c6-d4;a8-c8;d4-b3;d5-d4;d4-d3;c8-c1"
52,"R3k1nr/4b1pp/8/1P2pp2/8/5N2/1PPPK1PP/1NB4R b 8","e8-d7;g8-f6;h8-c8;c8-c2;c2-c1;e7-c5;f6-d5;d5-f4"
53,"2k2b1r/1p3ppp/2n4n/pB1P4/8/P4N2/1P1K1PPP/2R5 b 8","h6-g4;g4-f2;f8-d6;h8-e8;e8-e1;e1-c1;c6-d4;d6-f4"
54,"7R/pp3p1p/1p3k2/3P4/1b6/5P2/PPP2P1P/RNK5 b 8","b4-d6;b6-b5;b5-b4;b4-b3;b3-a2;a2-b1n;b1-c3;d6-f4"
55,"7r/p3kppp/8/6P1/8/8/PP1KPP1P/n6b w 9","h2-h4;h4-h5;h5-h6;h6-g7;g7-h8q;h8-c8;g5-g6;g6-f7;f7-f8q"
56,"Bn6/p1pp1p1p/b4k2/6p1/2P1P3/N7/P3K1PP/r7 w 9","a3-b5;b5-c7;e2-d3;d3-d4;d4-d5;d5-d6;h2-h4;h4-h5;c7-e8"
57,"B7/p2k1p1n/2n5/2p5/4p3/2Pp4/P2K1PP1/bN4N1 w 9","g2-g4;g4-g5;g5-g6;g6-f7;f7-f8q;b1-a3;a3-b5;a8-b7;b7-c8"
58,"r7/p1pkpp1p/3n2p1/3p4/8/8/2P1K1PP/b6R w 9","h2-h4;h4-h5;h5-g6;g6-f7;f7-f8q;c2-c4;c4-d5;h1-h7;h7-e7"
59,"q4b1n/p1pp1kp1/8/8/3p4/8/PP1K1P1P/RN6 w 9","b1-c3;a1-e1;e1-e6;h2-h4;h4-h5;h5-h6;h6-h7;c3-e4;e4-g5"
60,"Nnk4r/ppp3pp/8/4p3/8/2P1P3/P1K1P3/q7 w 9","c3-c4;c4-c5;c5-c6;a8-c7;c7-e6;a2-a4;a4-a5;a5-a6;a6-b7"
